|cust_id|join%_date|mobiles|fll_nam|first_name|last_name|email
0|1|2019-07-08|84333605993|Michael Michalek|Michael|Michalek|Michalek.Michael.1@yourcompany.com
2|3|2019-06-30|84338262954|Ann Gow|Ann|Gow|Gow.Ann.3@yourcompany.com
3|4|2019-09-06|84966068026|James Chen|James|Chen|Chen.James.4@yourcompany.com
5|7|2019-05-01|84349251856|David Liff|David|Liff|Liff.David.7@yourcompany.com
9|11|2019-07-10|84973180839|Otis Arnold|Otis|Arnold|Arnold.Otis.11@yourcompany.com
11|13|2019-09-15|84971262200|Kim Biddle|Kim|Biddle|Biddle.Kim.13@yourcompany.com
17|19|2019-02-13|84769789386|Anthony Herzog|Anthony|Herzog|Herzog.Anthony.19@yourcompany.com
18|20|2019-09-23|84352351854|Barbara Daugherty|Barbara|Daugherty|Daugherty.Barbara.20@yourcompany.com
23|25|2019-07-16|84867037738|Arthur Branham|Arthur|Branham|Branham.Arthur.25@yourcompany.com
28|30|2019-01-25|84356077736|Christi Molina|Christi|Molina|Molina.Christi.30@yourcompany.com
30|32|2019-06-06|84345936532|Franklin Johnson|Franklin|Johnson|Johnson.Franklin.32@yourcompany.com
39|42|2019-05-21|841266394412|Ivan Johnson|Ivan|Johnson|Johnson.Ivan.42@yourcompany.com
47|52|2019-01-23|84788187433|Roland Johnson|Roland|Johnson|Johnson.Roland.52@yourcompany.com
48|53|2019-03-28|84767490632|Elaine Jones|Elaine|Jones|Jones.Elaine.53@yourcompany.com
54|61|2019-05-05|84337633035|Judson Seymour|Judson|Seymour|Seymour.Judson.61@yourcompany.com
56|63|2019-01-06|84359188837|Eric Lehman|Eric|Lehman|Lehman.Eric.63@yourcompany.com
63|70|2019-05-18|841281598474|Ann Bufkin|Ann|Bufkin|Bufkin.Ann.70@yourcompany.com
66|74|2019-08-19|84358777849|Timothy Wiley|Timothy|Wiley|Wiley.Timothy.74@yourcompany.com
69|78|2019-04-21|84975190224|Lee Rutherford|Lee|Rutherford|Rutherford.Lee.78@yourcompany.com
73|83|2019-07-28|841289951509|Frank Seymore|Frank|Seymore|Seymore.Frank.83@yourcompany.com
80|90|2019-03-14|841269583137|Tina Rissell|Tina|Rissell|Rissell.Tina.90@yourcompany.com
82|92|2019-05-11|841267874536|Patricia Coon|Patricia|Coon|Coon.Patricia.92@yourcompany.com
84|95|2019-06-08|84978281797|Kristen Shanahan|Kristen|Shanahan|Shanahan.Kristen.95@yourcompany.com
85|96|2019-08-16|84334555439|Ron Grollimund|Ron|Grollimund|Grollimund.Ron.96@yourcompany.com
88|99|2019-06-12|841221343238|Elmer Miller|Elmer|Miller|Miller.Elmer.99@yourcompany.com
89|100|2019-08-22|841264626143|Frances Holland|Frances|Holland|Holland.Frances.100@yourcompany.com
